State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,State20,PUMA20,GEOID20,GISJOIN20,State20_Name,PUMA20_Name,Region,PUMA10_Pop10,PUMA20_Pop10,Part_Pop10,pPUMA10_Pop10,pPUMA20_Pop10,PUMA10_Pop20,PUMA20_Pop20,Part_Pop20,pPUMA10_Pop20,pPUMA20_Pop20,PUMA10_Land,PUMA20_Land,Part_Land,pPUMA10_Land,pPUMA20_Land
08,04103,0804103,G08004103,Colorado,El Paso County (Central)--Colorado Springs City (Central),08,02004,0802004,G08002004,Colorado,Central Colorado Springs,3,102746,102746,102744,100,100,108434,108430,108410,99.98,99.98,77611630,77502880,77446167,99.79,99.93
08,04104,0804104,G08004104,Colorado,El Paso County (Central)--Colorado Springs City (East) & Cimarron Hills,08,02004,0802004,G08002004,Colorado,Central Colorado Springs,3,108283,102746,2,0,0,121213,108430,20,0.02,0.02,66030011,77502880,56713,0.09,0.07
08,04101,0804101,G08004101,Colorado,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City,08,02005,0802005,G08002005,Colorado,Northeast Colorado Springs,3,111548,111888,3605,3.23,3.22,141822,132455,11238,7.92,8.48,6010002369,102853413,36838219,0.61,35.82
08,04103,0804103,G08004103,Colorado,El Paso County (Central)--Colorado Springs City (Central),08,02005,0802005,G08002005,Colorado,Northeast Colorado Springs,3,102746,111888,2,0,0,108434,132455,24,0.02,0.02,77611630,102853413,41896,0.05,0.04
08,04104,0804104,G08004104,Colorado,El Paso County (Central)--Colorado Springs City (East) & Cimarron Hills,08,02005,0802005,G08002005,Colorado,Northeast Colorado Springs,3,108283,111888,108281,100,96.78,121213,132455,121193,99.98,91.5,66030011,102853413,65973298,99.91,64.14
08,04101,0804101,G08004101,Colorado,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City,08,02006,0802006,G08002006,Colorado,South Colorado Springs,3,111548,126635,17114,15.34,13.51,141822,141178,20500,14.45,14.52,6010002369,150065412,23200539,0.39,15.46
08,04103,0804103,G08004103,Colorado,El Paso County (Central)--Colorado Springs City (Central),08,02006,0802006,G08002006,Colorado,South Colorado Springs,3,102746,126635,0,0,0,108434,141178,0,0,0,77611630,150065412,301,0,0
08,04105,0804105,G08004105,Colorado,El Paso County (Central)--Colorado Springs City (South) & Security-Widefield,08,02006,0802006,G08002006,Colorado,South Colorado Springs,3,109521,126635,109521,100,86.49,120678,141178,120678,100,85.48,126864572,150065412,126864572,100,84.54
08,00600,0800600,G08000600,Colorado,"Fremont, Chaffee, Park, Lake, Huerfano, Pueblo (Southwest) & Custer Counties",08,02101,0802101,G08002101,Colorado,Central Mountain,2,103776,110850,103759,99.98,93.6,109402,116725,109391,99.99,93.72,20021017870,23045265831,20020890030,100,86.88
08,00700,0800700,G08000700,Colorado,Pueblo County (North)--Pueblo City & Pueblo West,08,02101,0802101,G08002101,Colorado,Central Mountain,2,150830,110850,3519,2.33,3.17,160087,116725,3885,2.43,3.33,3299639434,23045265831,875006932,26.52,3.8
08,00800,0800800,G08000800,Colorado,Southeast Colorado,08,02101,0802101,G08002101,Colorado,Central Mountain,2,100276,110850,3572,3.56,3.22,98308,116725,3449,3.51,2.95,49861735729,23045265831,2149111912,4.31,9.33
