"YEAR","REGION","OWNERSHP","VACANCY","vac","vac_se","vac_moe"
"2014","3","Vacant","Rented or sold but not (yet) occupied",14886,1971.9882421032764,3243.92065825989
"2014","4","Vacant","For migrant farm workers",267,160.32778101100212,263.7391997630985
"2014","4","Vacant","For rent or sale",3262,874.9469458141681,1439.2877258643066
"2014","4","Vacant","For sale only",1297,429.31479481787915,706.2228374754112
"2014","4","Vacant","For seasonal, recreational or other occasional use",6963,811.9987396600002,1335.7379267407002
"2014","4","Owned or being bought (loan)","Occupied",52927,2301.243129521805,3785.544948063369
"2014","4","Rented","Occupied",24732,1934.2982903864013,3181.92068768563
"2014","4","Vacant","Other vacant",8314,1052.2898333701428,1731.0167758938849
"2014","4","Vacant","Rented or sold but not (yet) occupied",633,295.11560927424574,485.46517725613427
"2015","1","Vacant","For migrant farm workers",118,118.00000000000041,194.11000000000067
"2015","1","Vacant","For rent or sale",4383,949.6800361919412,1562.2236595357433
"2015","1","Vacant","For sale only",2385,696.7752186699101,1146.1952347120023
"2015","1","Vacant","For seasonal, recreational or other occasional use",12505,1534.890707474145,2524.8952137949686
"2015","1","Owned or being bought (loan)","Occupied",88091,3574.2345459023495,5879.615828009365
"2015","1","Rented","Occupied",41296,2829.625637668421,4654.734173964553
"2015","1","Vacant","Other vacant",5364,1081.886660089553,1779.7035558473149
"2015","1","Vacant","Rented or sold but not (yet) occupied",1751,697.767379480412,1147.827339245278
"2015","2","Vacant","For rent or sale",4410,916.1278183907025,1507.0302612527057
"2015","2","Vacant","For sale only",3020,690.5039497157221,1135.878997282363
"2015","2","Vacant","For seasonal, recreational or other occasional use",71204,3726.8343114636937,6130.642442357776
"2015","2","Owned or being bought (loan)","Occupied",88466,3546.9759132932013,5834.775377367317
"2015","2","Rented","Occupied",41787,2841.8270086815296,4674.805429281117
"2015","2","Vacant","Other vacant",6067,1033.5827670745707,1700.243651837669
"2015","2","Vacant","Rented or sold but not (yet) occupied",2075,606.882609444022,998.3218925354163
"2015","3","Vacant","For migrant farm workers",513,367.683910672372,604.840033056052
"2015","3","Vacant","For rent or sale",23187,2361.4023556771244,3884.50687508887
"2015","3","Vacant","For sale only",10660,1601.6910780082555,2634.7818233235803
"2015","3","Vacant","For seasonal, recreational or other occasional use",23959,2261.053494729388,3719.4329988298437
"2015","3","Owned or being bought (loan)","Occupied",1096037,9307.352410484402,15310.594715246842
"2015","3","Rented","Occupied",640219,9932.981932730818,16339.755279342195
"2015","3","Vacant","Other vacant",27415,2447.0742566121676,4025.437152127016
"2015","3","Vacant","Rented or sold but not (yet) occupied",15657,2010.9730751960258,3308.0507086974626
"2015","4","Vacant","For rent or sale",1906,513.476488197951,844.6688230856294
"2015","4","Vacant","For sale only",587,220.98007525598837,363.51222379610084
"2015","4","Vacant","For seasonal, recreational or other occasional use",6737,880.1779021551451,1447.8926490452138
"2015","4","Owned or being bought (loan)","Occupied",53125,2285.1359012386447,3759.0485575375706
"2015","4","Rented","Occupied",25718,2095.815550281983,3447.6165802138626
"2015","4","Vacant","Other vacant",9215,996.4832451106489,1639.2149382070174
"2015","4","Vacant","Rented or sold but not (yet) occupied",1265,482.27977071287916,793.3502228226862
"2016","1","Vacant","For migrant farm workers",95,94.99999999999888,156.27499999999816
"2016","1","Vacant","For rent or sale",3456,886.9639407506168,1459.0556825347646
"2016","1","Vacant","For sale only",1484,458.0598476096075,753.5084493178043
"2016","1","Vacant","For seasonal, recreational or other occasional use",12890,1570.3784508798026,2583.2725516972755
"2016","1","Owned or being bought (loan)","Occupied",87226,3455.515739168545,5684.323390932257
